epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,870.93,1.10404,0.71442,1.25937,0.93999,0.94186,0.95554,0.64021,1.23528,0.56219,1.49406,0.00145055,0.00145055,0.00145055
113,878.562,1.05758,0.65862,1.21943,0.95858,0.94195,0.96595,0.64611,1.20638,0.56086,1.46842,0.0014456,0.0014456,0.0014456
114,886.068,1.0596,0.64982,1.23017,0.93046,0.97093,0.96948,0.65367,1.22521,0.5501,1.49511,0.00144065,0.00144065,0.00144065
115,893.821,1.08836,0.69752,1.25375,0.95565,0.92442,0.96213,0.63183,1.27492,0.5854,1.51363,0.0014357,0.0014357,0.0014357
116,901.715,1.07472,0.6847,1.24966,0.95305,0.94409,0.96299,0.6412,1.24164,0.55201,1.50155,0.00143075,0.00143075,0.00143075
117,909.395,1.01461,0.63841,1.20081,0.94215,0.94684,0.96861,0.64369,1.20583,0.51855,1.47666,0.0014258,0.0014258,0.0014258
118,917.107,1.02259,0.62812,1.22095,0.93794,0.98256,0.96956,0.65117,1.2591,0.53235,1.49983,0.00142085,0.00142085,0.00142085
119,924.606,1.0739,0.67078,1.25183,0.9335,0.95349,0.96307,0.6219,1.27524,0.55703,1.52054,0.0014159,0.0014159,0.0014159
120,932.356,1.04946,0.65537,1.21456,0.94875,0.96863,0.97041,0.64544,1.1889,0.55771,1.44977,0.00141095,0.00141095,0.00141095
121,939.918,1.03687,0.64025,1.21736,0.95394,0.96339,0.97167,0.64794,1.20579,0.54974,1.47499,0.001406,0.001406,0.001406
122,947.71,1.06272,0.65612,1.23822,0.94564,0.93605,0.96263,0.64592,1.19713,0.5454,1.45827,0.00140105,0.00140105,0.00140105
123,955.151,1.03749,0.64242,1.23742,0.937,0.93023,0.94689,0.6126,1.28131,0.58971,1.52114,0.0013961,0.0013961,0.0013961
124,963.09,1.03276,0.63644,1.21371,0.94166,0.93838,0.96209,0.63391,1.2514,0.57055,1.48747,0.00139115,0.00139115,0.00139115
125,970.619,1.0313,0.64494,1.21299,0.95921,0.95704,0.9655,0.64491,1.23297,0.53531,1.46709,0.0013862,0.0013862,0.0013862
126,978.292,1.03474,0.63496,1.22172,0.96557,0.95349,0.9721,0.65772,1.21657,0.53733,1.47853,0.00138125,0.00138125,0.00138125
127,985.883,1.05565,0.65047,1.2365,0.9527,0.93691,0.967,0.65147,1.22218,0.55693,1.50535,0.0013763,0.0013763,0.0013763
128,993.516,1.04159,0.63649,1.23118,0.95937,0.93023,0.96374,0.63253,1.26549,0.56067,1.5357,0.00137135,0.00137135,0.00137135
129,1001.18,1.03572,0.63148,1.22131,0.96352,0.94767,0.95948,0.62804,1.26413,0.55202,1.53108,0.0013664,0.0013664,0.0013664
130,1008.79,1.05796,0.64517,1.23055,0.94126,0.92442,0.94566,0.63261,1.2771,0.6051,1.52185,0.00136145,0.00136145,0.00136145
131,1016.41,1.02483,0.64443,1.21892,0.92759,0.96818,0.96715,0.6359,1.22488,0.56025,1.50225,0.0013565,0.0013565,0.0013565
132,1024.18,1.01284,0.61492,1.20296,0.95418,0.96862,0.97565,0.64814,1.18587,0.53236,1.45147,0.00135155,0.00135155,0.00135155
133,1031.88,1.03838,0.61726,1.19854,0.96181,0.9593,0.97362,0.65274,1.20002,0.54945,1.45753,0.0013466,0.0013466,0.0013466
134,1039.53,1.04046,0.65254,1.22362,0.9584,0.93765,0.96846,0.65349,1.25222,0.54194,1.5158,0.00134165,0.00134165,0.00134165
135,1047.47,1.04356,0.64822,1.22582,0.94482,0.94767,0.95521,0.65099,1.23913,0.55673,1.5,0.0013367,0.0013367,0.0013367
136,1055.14,1.06102,0.6557,1.22992,0.94255,0.9593,0.96364,0.65278,1.22937,0.53452,1.48981,0.00133175,0.00133175,0.00133175
137,1062.87,1.02732,0.63842,1.23146,0.94339,0.96882,0.95718,0.63941,1.24927,0.52937,1.499,0.0013268,0.0013268,0.0013268
138,1070.76,1.01403,0.60346,1.21013,0.93779,0.97674,0.95527,0.65987,1.21808,0.52264,1.49968,0.00132185,0.00132185,0.00132185
139,1078.6,1.01151,0.61726,1.20781,0.95086,0.93605,0.9637,0.65613,1.23889,0.55777,1.50134,0.0013169,0.0013169,0.0013169
140,1086.09,1.01595,0.59759,1.2017,0.95159,0.9593,0.97334,0.64979,1.21725,0.53304,1.49705,0.00131195,0.00131195,0.00131195
141,1094.1,1.01968,0.60843,1.1995,0.96489,0.9587,0.96879,0.65383,1.25575,0.52881,1.52259,0.001307,0.001307,0.001307
142,1101.62,1.03702,0.61264,1.21149,0.9535,0.9186,0.97087,0.65193,1.23507,0.55261,1.49619,0.00130205,0.00130205,0.00130205
143,1109.45,1.01279,0.60171,1.20283,0.93685,0.96512,0.96158,0.64862,1.20099,0.54871,1.48006,0.0012971,0.0012971,0.0012971
144,1117.07,1.00141,0.62722,1.22184,0.94786,0.95117,0.97102,0.64813,1.25492,0.54799,1.53174,0.00129215,0.00129215,0.00129215
145,1124.86,1.00026,0.61269,1.19519,0.9491,0.97575,0.97572,0.66133,1.20015,0.52447,1.48208,0.0012872,0.0012872,0.0012872
146,1132.37,1.01642,0.6107,1.19549,0.93253,0.94767,0.96303,0.64205,1.22962,0.53605,1.50367,0.00128225,0.00128225,0.00128225
147,1140.13,1.00983,0.61316,1.20629,0.93733,0.95655,0.9588,0.64728,1.23248,0.5372,1.50051,0.0012773,0.0012773,0.0012773
148,1147.71,1.00297,0.6047,1.21279,0.94995,0.94767,0.97077,0.65636,1.24439,0.55506,1.52997,0.00127235,0.00127235,0.00127235
149,1155.45,1.00654,0.61786,1.19105,0.91241,0.96898,0.97463,0.65309,1.23308,0.54085,1.49156,0.0012674,0.0012674,0.0012674
150,1162.95,0.98616,0.60812,1.1879,0.93151,0.97093,0.96503,0.66165,1.21121,0.51277,1.49183,0.00126245,0.00126245,0.00126245
151,1170.64,0.96335,0.57762,1.18345,0.94886,0.9593,0.96412,0.6454,1.21024,0.51567,1.47897,0.0012575,0.0012575,0.0012575
152,1178.11,0.99786,0.60582,1.19212,0.93601,0.94767,0.97073,0.65559,1.24493,0.51393,1.50573,0.00125255,0.00125255,0.00125255
153,1185.6,0.9821,0.57944,1.18707,0.97019,0.94609,0.97668,0.65565,1.21631,0.51101,1.48951,0.0012476,0.0012476,0.0012476
154,1193.31,0.98293,0.58716,1.19187,0.95154,0.94767,0.96758,0.65473,1.20157,0.52212,1.49771,0.00124265,0.00124265,0.00124265
155,1201.03,0.99702,0.59245,1.19041,0.92307,0.97669,0.96943,0.64537,1.24208,0.55247,1.52469,0.0012377,0.0012377,0.0012377
156,1208.91,1.00566,0.5912,1.18979,0.95923,0.95752,0.97175,0.64483,1.23444,0.54324,1.49552,0.00123275,0.00123275,0.00123275
157,1216.63,0.99224,0.60747,1.16758,0.94096,0.97093,0.97647,0.6545,1.225,0.51888,1.47322,0.0012278,0.0012278,0.0012278
158,1224.36,0.9799,0.57657,1.17899,0.94122,0.94767,0.95313,0.63972,1.21118,0.5528,1.49197,0.00122285,0.00122285,0.00122285
159,1231.82,1.0307,0.59077,1.19878,0.9487,0.96776,0.96863,0.64968,1.20475,0.51776,1.4632,0.0012179,0.0012179,0.0012179
160,1239.93,0.99977,0.59824,1.20271,0.9554,0.96512,0.96611,0.65134,1.23741,0.54779,1.49437,0.00121295,0.00121295,0.00121295
161,1247.42,0.98363,0.56764,1.18743,0.94793,0.95252,0.96662,0.6664,1.20898,0.52641,1.48365,0.001208,0.001208,0.001208
162,1255.25,0.99354,0.59824,1.20469,0.94812,0.9562,0.95828,0.66574,1.20405,0.51559,1.48913,0.00120305,0.00120305,0.00120305
163,1262.66,0.96899,0.59056,1.17706,0.96313,0.97093,0.97581,0.66736,1.20565,0.5072,1.48116,0.0011981,0.0011981,0.0011981
164,1270.31,0.98344,0.60059,1.195,0.94809,0.9556,0.96596,0.65809,1.23599,0.5258,1.51585,0.00119315,0.00119315,0.00119315
165,1277.87,0.96447,0.56195,1.16821,0.93448,0.95349,0.97323,0.65227,1.20308,0.52608,1.49214,0.0011882,0.0011882,0.0011882
166,1285.65,0.95577,0.55891,1.17625,0.95746,0.94767,0.96797,0.65072,1.19674,0.51563,1.4741,0.00118325,0.00118325,0.00118325
167,1293.2,0.94477,0.56259,1.16206,0.94394,0.97893,0.98049,0.66109,1.1742,0.49722,1.46472,0.0011783,0.0011783,0.0011783
168,1300.87,0.99849,0.59033,1.20042,0.94702,0.9593,0.96935,0.64973,1.21368,0.51639,1.49393,0.00117335,0.00117335,0.00117335
