epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,627.793,1.47424,1.3499,1.53486,0.66169,0.71641,0.69121,0.34213,1.71295,1.32039,1.86943,0.001406,0.001406,0.001406
122,633.126,1.50025,1.34931,1.55321,0.69104,0.70221,0.73608,0.34379,1.712,1.29498,1.84544,0.00140105,0.00140105,0.00140105
123,638.082,1.46639,1.33205,1.54436,0.58202,0.73256,0.65064,0.28677,1.76079,1.40181,1.93161,0.0013961,0.0013961,0.0013961
124,643.166,1.48972,1.40641,1.54749,0.6285,0.7093,0.71074,0.35089,1.63459,1.35536,1.80433,0.00139115,0.00139115,0.00139115
125,648.471,1.44873,1.35334,1.52517,0.70538,0.73837,0.74749,0.38848,1.61675,1.24614,1.79687,0.0013862,0.0013862,0.0013862
126,653.529,1.42588,1.30019,1.50235,0.68284,0.726,0.72826,0.37382,1.66684,1.26463,1.8334,0.00138125,0.00138125,0.00138125
127,658.515,1.4569,1.25295,1.50656,0.68862,0.69767,0.70126,0.34896,1.71816,1.31571,1.9002,0.0013763,0.0013763,0.0013763
128,663.978,1.42542,1.31874,1.50256,0.66758,0.68605,0.70856,0.33649,1.65857,1.33056,1.83392,0.00137135,0.00137135,0.00137135
129,669.162,1.43336,1.3363,1.49916,0.66814,0.68605,0.69154,0.34696,1.68887,1.31343,1.84764,0.0013664,0.0013664,0.0013664
130,674.178,1.43217,1.29453,1.48645,0.67644,0.68605,0.68567,0.34852,1.68884,1.26064,1.86781,0.00136145,0.00136145,0.00136145
131,679.371,1.41224,1.28397,1.49727,0.61376,0.75581,0.69591,0.34372,1.68845,1.32401,1.86132,0.0013565,0.0013565,0.0013565
132,684.405,1.4158,1.28123,1.49114,0.69187,0.73105,0.71535,0.34611,1.66429,1.26695,1.87855,0.00135155,0.00135155,0.00135155
133,689.386,1.43104,1.31171,1.49756,0.67294,0.74419,0.7365,0.36969,1.68354,1.26406,1.8554,0.0013466,0.0013466,0.0013466
134,694.462,1.42375,1.27432,1.49708,0.69535,0.73837,0.75439,0.38372,1.64282,1.23657,1.843,0.00134165,0.00134165,0.00134165
135,699.603,1.43668,1.27855,1.49674,0.69765,0.74419,0.72497,0.37936,1.59232,1.21208,1.81228,0.0013367,0.0013367,0.0013367
136,704.676,1.43333,1.3115,1.49919,0.69563,0.7093,0.71711,0.33739,1.68156,1.31143,1.86302,0.00133175,0.00133175,0.00133175
137,709.704,1.40324,1.29508,1.4884,0.69958,0.77907,0.74877,0.36861,1.67314,1.22935,1.8593,0.0013268,0.0013268,0.0013268
138,714.907,1.39567,1.25747,1.4741,0.68371,0.71637,0.73162,0.37109,1.65744,1.21415,1.86879,0.00132185,0.00132185,0.00132185
139,720.008,1.39833,1.26493,1.49446,0.6519,0.73256,0.72176,0.36287,1.68064,1.23105,1.88919,0.0013169,0.0013169,0.0013169
140,724.999,1.38584,1.24159,1.47434,0.71281,0.75581,0.75811,0.37676,1.6518,1.20714,1.86169,0.00131195,0.00131195,0.00131195
141,730.174,1.41185,1.2335,1.4703,0.72506,0.75127,0.76405,0.37437,1.66041,1.20197,1.82899,0.001307,0.001307,0.001307
142,735.279,1.41819,1.2137,1.49618,0.63,0.71278,0.7041,0.36844,1.68331,1.20405,1.84278,0.00130205,0.00130205,0.00130205
143,740.388,1.41618,1.27521,1.48566,0.62134,0.7907,0.71323,0.36073,1.6825,1.22057,1.86142,0.0012971,0.0012971,0.0012971
144,745.636,1.40568,1.26849,1.49582,0.66143,0.7907,0.7276,0.35899,1.67311,1.19015,1.88121,0.00129215,0.00129215,0.00129215
145,750.68,1.41624,1.25474,1.48764,0.64811,0.771,0.72586,0.35234,1.69552,1.21417,1.91778,0.0012872,0.0012872,0.0012872
146,755.628,1.40033,1.25094,1.48851,0.69899,0.75,0.71588,0.36808,1.69424,1.27958,1.89155,0.00128225,0.00128225,0.00128225
147,760.811,1.37679,1.26463,1.47407,0.71498,0.7438,0.73443,0.38297,1.66017,1.23855,1.85549,0.0012773,0.0012773,0.0012773
148,765.934,1.37295,1.20276,1.46535,0.72621,0.75581,0.72536,0.38054,1.63032,1.26358,1.83608,0.00127235,0.00127235,0.00127235
149,770.998,1.42214,1.26297,1.48958,0.6852,0.75929,0.73693,0.38654,1.64915,1.18987,1.87679,0.0012674,0.0012674,0.0012674
150,776.079,1.37076,1.257,1.46048,0.68737,0.76744,0.7247,0.36604,1.72687,1.23073,1.90627,0.00126245,0.00126245,0.00126245
